Precinct,Total.Votes,White.Pct,Black.Pct,NA.Pct,A.PI.Pct,Other.R.Pct,MR.Pct,Dem.Pct,Rep.Pct,Other.Pct
17-02,1787,0.598768886,0.184107443,0.006715165,0.009513151,0.155567991,0.045327364,0.432432432,0.540540541,0.027027027
17-03,9072,0.551917989,0.33531746,0.002425044,0.058641975,0.02138448,0.030313051,0.594127807,0.379965458,0.025906736
17-04,7550,0.549668874,0.305827815,0.007549669,0.016688742,0.08807947,0.03218543,0.512295082,0.46129326,0.026411658
17-05,6091,0.43966508,0.413396815,0.00591036,0.052864883,0.057461829,0.030701034,0.653333333,0.332753623,0.013913043
17-07,6166,0.267596497,0.53211158,0.008595524,0.03697697,0.120661693,0.034057736,0.834348356,0.154689403,0.010962241
17-08,9986,0.527738834,0.350490687,0.006308832,0.021029441,0.062988183,0.031444022,0.554233254,0.428085685,0.017681061
17-09,5502,0.146673937,0.681025082,0.005997819,0.024173028,0.112868048,0.029262087,0.918955124,0.074346952,0.006697924
17-10,2253,0.492232579,0.343541944,0.010208611,0.050155348,0.077674212,0.026187306,0.545,0.43,0.025
17-11,7930,0.369356873,0.36557377,0.009331652,0.074527112,0.143883985,0.037326608,0.702294686,0.273550725,0.024154589
18-01,8800,0.717840909,0.189090909,0.005,0.049090909,0.016363636,0.022613636,0.641458474,0.324105334,0.034436192
18-06,5672,0.692877292,0.159732017,0.005112835,0.095909732,0.016572638,0.029795487,0.545584046,0.423789174,0.030626781
18-08,5677,0.78034173,0.089660032,0.003875286,0.087546239,0.018319535,0.020257178,0.450060901,0.53227771,0.017661389
19-16,4286,0.644890341,0.26364909,0.008866076,0.023798413,0.036630891,0.022165189,0.441441441,0.541291291,0.017267267
19-17,6541,0.572083779,0.329001682,0.004892218,0.029047546,0.033786883,0.031187892,0.596193416,0.376028807,0.027777778
20-01,5451,0.620436617,0.193542469,0.004402862,0.055402678,0.103650706,0.022564667,0.515500443,0.454384411,0.030115146
20-02,18163,0.637559874,0.089302428,0.002807906,0.226999945,0.013654132,0.029675714,0.424897119,0.54526749,0.029835391
20-03,3600,0.888333333,0.0475,0.002222222,0.021111111,0.015833333,0.025,0.413539367,0.55334805,0.033112583
20-04,5650,0.710265487,0.034336283,0.001061947,0.219646018,0.006902655,0.027787611,0.438977636,0.530990415,0.030031949
20-09,3341,0.889853337,0.043699491,0.002394493,0.043998803,0.005088297,0.014965579,0.413191812,0.554207733,0.032600455
20-10,5097,0.739454581,0.028055719,0.00255052,0.205611144,0.004512458,0.019815578,0.43129771,0.538167939,0.030534351
